Note: [none]
Total # of Iterations:	1e+06	
Sample size:	253	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-233.6294	6	479.6002	479.2587	0.999973	0.5058091	
Model:	mcombrat7
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
356000	0.05518126	-233.6326	
357000	0.05518126	-233.6326	
358000	0.05380173	-233.6326	
359000	0.05380173	-233.6326	
360000	0.05245668	-233.6326	
361000	0.05245668	-233.6326	
362000	0.05114527	-233.6326	
363000	0.05114527	-233.6326	
364000	0.04986663	-233.6326	
365000	0.04986663	-233.6326	
366000	0.04861997	-233.6326	
366794	0.04861997	-233.6313	
366794.3	0.04861997	-233.6313	
367000	0.04861997	-233.6313	
368000	0.04740447	-233.6313	
369000	0.04740447	-233.6313	
370000	0.04621936	-233.6313	
371000	0.04621936	-233.6313	
372000	0.04506387	-233.6313	
373000	0.04506387	-233.6313	
374000	0.04393728	-233.6313	
375000	0.04393728	-233.6313	
376000	0.04283885	-233.6313	
377000	0.04283885	-233.6313	
378000	0.04176787	-233.6313	
379000	0.04176787	-233.6313	
380000	0.04072368	-233.6313	
381000	0.04072368	-233.6313	
382000	0.03970559	-233.6313	
383000	0.03970559	-233.6313	
383902.5	0.03970559	-233.6306	
384000	0.03871295	-233.6306	
385000	0.03871295	-233.6306	
386000	0.03774512	-233.6306	
387000	0.03774512	-233.6306	
388000	0.03680149	-233.6306	
389000	0.03680149	-233.6306	
390000	0.03588146	-233.6306	
391000	0.03588146	-233.6306	
392000	0.03498442	-233.6306	
393000	0.03498442	-233.6306	
394000	0.03410981	-233.6306	
395000	0.03410981	-233.6306	
396000	0.03325706	-233.6306	
397000	0.03325706	-233.6306	
398000	0.03242564	-233.6306	
399000	0.03242564	-233.6306	
4e+05	0.031615	-233.6306	
401000	0.031615	-233.6306	
402000	0.03082462	-233.6306	
